"","country","oxSI_lev","rate_lev","rate_diff","fx_diff","fiscal","welfare","sme_grants","sme_loans","guarantee","stimulus","industry","tax_deferrals","tax_waivers","aug20yoy","jul20yoy","jun20yoy","apr20yoy"
"1","ALBANIA",58.5709677419355,1,-0.112903225806452,0.0181872303971389,0.032,0.0012,0,0,0.0067,0,0,0,0,NA,NA,NA,NA
"2","ANGOLA",24.4,15.5,0,0.0387218671034413,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA
"3","ARGENTINA",51.7025806451613,63.9032258064516,-25.6451612903226,0.0506687493298594,0.06,NA,0,0,0,0,0,0,0,-0.0455234122176362,-0.0675096593764274,-0.0745665836638174,-0.120138710261307
"4","ARMENIA",NA,5.5,-0.120967741935484,0.0202321063297433,0.0241,NA,0,0,0,0,0,0,0,0.0818363273453093,-0.049671977507029,0,-0.0639175257731959
"5","AUSTRALIA",38.2003225806452,0.75,-0.338709677419355,0.0979603333565527,0.069,0.0134,0.0172,0.0108,NA,0,4e-04,0,0.0021,NA,NA,NA,NA
"6","AUSTRIA",52.9261290322581,0,0,0.0033346831475044,0.13,1e-04,0.0111,0.03888912539,NA,0,0.0014,0.0259,0.0033,0.0151076824172292,0.0518309417391984,-0.0513595166163143,-0.415608357230643
"7","AZERBAIJAN",49.7622580645161,7.49193548387097,-0.241935483870968,0,0.0414,0.0053,0.0016,0,0,0,0,0,0,NA,NA,NA,NA
"8","BAHRAIN",49.1954838709677,2.25,-0.854838709677419,0,0.0398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BANGLADESH",44.4151612903226,6,-0.07258064516129,0.000588754800639357,0.0074,0.0022,0,0,0,0,0,0,0,-0.0103806228373703,-0.0292056074766355,-0.116359447004608,-0.260919540229885
"10","BELARUS",4.83677419354839,9,-0.25,0.125529525678163,0.0409,NA,0,0,0,0,0,0,0,-0.0721247563352826,-0.0600358422939067,-0.0472143531633616,-0.158607350096712
"11","BELGIUM",49.2232258064516,0,0,0.0033346831475044,0.023,0.0033,NA,NA,0.1087,0.0022,0,0.0283,0.0067,0,0,0,0
"12","BOTSWANA",36.1103225806452,4.75,0,0.0701662369723186,0.0105,NA,0,0,0.0053,0,0,0,0,NA,NA,NA,NA
"13","BRAZIL",43.9964516129032,4.5,-0.475806451612903,0.172880124799032,0.12,0.0308,0.0015,0.004,0,0,0.03,0,0,-0.0643056849953401,-0.0447761194029851,-0.065989847715736,-0.200865800865801
"14","CANADA",39.0851612903226,1.75,-0.838709677419355,0.063937455521726,0.124,0.0472,0.0083,0.0366,0.1351,0,0.0022,0.0383,0,-0.10285114570579,-0.0848491892834311,-0.0984469426213528,-0.357840129413733
"15","CHILE",32.7064516129032,1.75,-0.403225806451613,0.0796545875298085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CHINA",79.5264516129032,4.15,-0.100000000000001,0.0139235559622795,0.0511,NA,0,0.02,0,0,0,0,0,0.0114942528735631,0,-0.0141110065851364,-0.0142314990512334
"17","COLOMBIA",43.6083870967742,4.25,-0.080645161290323,0.154135271461477,0.015,NA,0,0,0,0,0,0,0,-0.0778664774998001,-0.07634378471423,-0.130913690813775,-0.233333086132267
"18","CYPRUS",45.518064516129,0,0,0.0033346831475044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219966159052453,-0.0538057742782153,-0.0904558404558404,-0.357610474631751
"19","CZECH REPUBLIC",57.5264516129032,2,-0.153225806451613,0.0567303510133588,0.049,0.002,0.0033,NA,0.0938,0.0012,8e-04,0,0.0028,-0.0558325912733748,-0.0478562533357053,-0.10044404973357,-0.342079944021692
"20","DENMARK",52.6274193548387,0.05,0,0.00329547375171702,0.026,0.0017,0.0231,6e-04,0.027,0,0.0011,0.0735,0.0569,-0.0384286934244236,-0.111204013377926,-0.0157342657342658,-0.0614995787700084
"21","DOMINICAN REPUBLIC",43.4567741935484,4.5,-0.451612903225806,0.0117982603506444,0.0081,0.004,0,0.0049,0,0,0,0,0,NA,NA,NA,NA
"22","EGYPT",28.7038709677419,12.25,-1.54838709677419,-0.0104163755226567,0.0225,5e-04,0,0,0,0,0.01,0,0,-0.0289727831431081,-0.057391304347826,-0.0619546247818499,-0.0424978317432784
"23","ESTONIA",34.2290322580645,0,0,0.0033346831475044,0.07,NA,NA,0.0192,0.0384,0,0.0077,0,0,-0.0536193029490617,-0.00184501845018448,-0.0477908025247972,-0.169650468883205
"24","FIJI",46.861935483871,0.5,-0.112903225806452,0.0476195613052746,0.1004,0.0087,0,0,0,0,0,0,0.0346,NA,NA,NA,NA
"25","FINLAND",45.5761290322581,0,0,0.0033346831475044,0.0874,0.0147,0.0042,2e-04,0.0034,0.0031,0.003,0.0221,0.0048,-0.0623905002919992,-0.0839194527411119,-0.114421123899797,-0.349058416602613
"26","FRANCE",67.1729032258065,0,0,0.0033346831475044,0.0574,3e-04,0.0035,NA,0.1339,0,0.0119,0.1596,0.0463,-0.1,-0.0980392156862745,-0.11252446183953,-0.248054474708171
"27","GAMBIA",34.1977419354839,12.5,-0.5,-0.00367844791882632,0.0185,0.0102,0,0,0,0,0,0,0,NA,NA,NA,NA
"28","GEORGIA",61.4109677419355,9,0,0.053291020105722,0,0.013,0.0033,0.0078,0,0,0,0,0.0239,NA,NA,NA,NA
"29","GERMANY",48.7745161290323,0,0,0.0033346831475044,0.4395,0.0054,0.024,NA,0.2788,0.0036,0.0112,0.0751,0.0111,-0.0263157894736842,-0.0422778257118206,-0.088006902502157,-0.209019947961839
"30","GHANA",31.0938709677419,16,-0.67741935483871,-0.0313880967712894,0.0353,2e-04,0,0.002,0,0,0,0,0,NA,NA,NA,NA
"31","GREECE",54.658064516129,0,0,0.0033346831475044,0.1299,0.01,0.0043,NA,0.0217,0,0.0013,0.0125,0.0012,-0.0381315538608198,-0.00168918918918926,-0.0471950133570792,-0.106580166821131
"32","HONG KONG",48.8354838709677,2,-0.798064516129032,-0.00115837582938072,0.1011,0.025,0.0176,0,0,0.0021,0.01,0,0.028,NA,NA,NA,NA
"33","HUNGARY",48.8629032258065,0.9,0,0.0356143949325469,0.0455,NA,0,0.0469,0.0117,0.0105,0.0143,0.0091,0.0046,-0.00261096605744138,-0.0749354005167958,-0.117595048629531,-0.370659722222222
"34","ICELAND",35.6935483870968,3,-0.814516129032258,0.0868991112177797,0.0974,NA,0,NA,0,0.0071,0,0,0,NA,NA,NA,NA
"35","INDIA",54.7038709677419,5.15,-0.120967741935484,0.0417034745820972,0.019,NA,0,0.019,0,0,0.011,0,0,-0.054317913772769,-0.0436021469750181,0.11254143220535,-0.0305615260612573
"36","INDONESIA",41.2206451612903,5,-0.354838709677419,0.101192869100021,0.0871,0.0137,0.0083,0,0,0,0,0,0.0081,-0.0800316957210777,-0.107738998482549,-0.157772621809745,-0.573122529644269
"37","IRELAND",40.0845161290323,0,0,0.0033346831475044,0.0756,0.0074,0.0046,NA,0.0062,0,1e-04,0,0,-0.0460460460460461,0.142263759086189,0.0469583778014941,0.0268872802481903
"38","ISRAEL",58.5409677419355,0.25,0,0.0445711559587831,0.1482,0.0201,0.0075,0.0105,0.0376,0.006,0.0021,0,0,0.0204750204750204,0.0130081300813008,0.0604534005037785,-0.00904605263157887
"39","ITALY",84.0687096774193,0,0,0.0033346831475044,0.0521,0.0082,0.0035,0.0566,0.2334,0,0,0.1333,0.0427,-0.00189933523266861,-0.0775047258979207,-0.137996219281664,-0.433872502378687
"40","JAMAICA",51.3729032258065,0.5,0,-0.00904673772656306,0.035,7e-04,0.0012,0,0,0,0,0,0.006,NA,NA,NA,NA
"41","JAPAN",41.1587096774194,-0.1,0,-0.0183946624140257,0.4266,0.0086,0.0036,0.0211,0,0.046,0,0,0,0.0275862068965518,-0.0428265524625268,-0.0271493212669683,-0.874564459930314
"42","JORDAN",51.9706451612903,4,-0.967741935483871,0,0,0.0032,0,0.005,0,0,0,0,0,-0.123383084577114,-0.146771037181996,-0.209852216748768,-0.1587147030185
