Country,Date,fiscal_7,ratecut_7,reserve_req_7,macrofin_7,othermonetary_7,bopgdp_7,otherbop_7,,
Afghanistan,4-Jun,0.6,0,0,0,1,0,0,,
Albania,3-Jun,2.8,50.00,0.00,0,1,0,0,,
Algeria,4-Jun,-2.194104213,14.29,40.00,0,1,6,1,,
Angola,3-Jun,0.131108853,30,0,0.904252297,1,0,0,,4.3 percent for EURO MEMBERS 2.3 for non euro eu members
Argentina,4-Jun,4,5,0,0,1,0.224482512,0,,
Armenia,4-Jun,1.109412711,9.090909091,0,0,0,0,1,,
Australia,4-Jun,11.70697674,66.66666667,0,4.708520179,1,0,0,,
Austria,4-Jun,15.57151913,0,0,12.35294118,1,0,0,,
Azerbaijan,4-Jun,4.135160606,-5.81,0.00,0,1,0,1,,
Bahamas,20-May,0.6,0,0,0,1,0,0,,
Bahrain,20-May,5.54039548,52.26851852,40,28,1,0,0,,
Bangladesh,4-Jun,1.990727378,12.5,28.63636364,0.338904899,1,0,1,,
Barbados,4-Jun,2,71.42857143,85.71428571,0,1,0,0,,
Belarus,4-Jun,1.2,8.571428571,0,0,1,0,1,,https://www.fitchratings.com/research/sovereigns/fitch-affirms-belarus-at-b-outlook-stable-15-05-2020
Belgium,4-Jun,18.4,0,,12.35294118,1,0,0,,
Belize,22-May,1,0,0,0,1,0,0,,
Benin,4-Jun,0.1,9.090909091,0,1.528571429,1,0,0,,
Bhutan,4-Jun,1.685432794,0,22.22222222,0,1,0,0,,
Bolivia,20-May,0.97995283,0,0,1.20,1,0,0,,
Bosnia and Herzegovian,4-Jun,3.64,0,0,0,1,0,0,,
Botswana,4-Jun,1.1,10.52631579,50,0,1,0,1,,
Brazil,3-Jun,10,29.41176471,45.16129032,3.169572108,1,2.852614897,0,,
Brunei,4-Jun,0.206016959,0,0,2.993983041,1,0,0,,
Bulgaria,4-Jun,4.4,0,0,8.95,1,0,0,,
Burkina Faso,22-May,0,9.090909091,0.00,0.8,1,0,0,,
Burundi,3-Jun,2.6,0,0,0,0,0,0,,
Cabo Verde,4-Jun,2.869090909,83.33333333,23.07692308,0,1,0,0,,
Cambodia,4-Jun,0.2,30.90909091,27.08333333,0,1,0,0,,
Cameroon,4-Jun,0.699520476,11.9047619,0,0.002200248,1,0,0,,
Canada,28-May,9.8,85.71428571,55.55555556,12.69385411,1,0,0,,
Central African Republic,3-Jun,1.9,11.9047619,0,0,1,0,0,,
Chad,4-Jun,4.041973577,11.9047619,0,0,1,0,0,,
Chile,4-Jun,6.7,71.42857143,0,2.718896672,1,0,1,,
China,4-Jun,3.5,8.333333333,11.11111111,6.780551627,1,0,1,,
Colombia,3-Jun,2.8,35.29411765,24.74747475,1.174156361,1,0.426965949,1,,
Democratic Republic of Congo,4-Jun,0.3,16.66666667,100,0,1,0,0,,
